"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"66",-3.75329523893488,-0.438809639892971,0.173895205256116,-0.0897181900731158,-0.16544785061337,-0.184728678749761,0.437016984851612,-0.0185694824683201
"67",-2.75161516118848,-0.272453891028746,1.58973822681608,0.326605198878764,-0.143561603205037,-0.21889511573276,-0.00937162284613464,0.0402063734384158
"68",-3.51722823952163,-0.364887954696392,1.89587316758187,0.359062072747114,-0.230163722391186,-0.11713359240628,0.233670313047392,-0.0195556109077889
"69",-3.03280223591844,-0.797393478463896,1.66278463993855,-0.0759449395692479,-0.349707880575863,-0.312342865650187,0.14893497290562,0.0464590757825493
"70",-2.53558283841053,-0.29593219963001,1.51166934451705,0.155887281764675,-0.214671591163795,-0.322368649102494,0.0678649238674482,0.0230736415898608
"71",-1.67809868146745,0.165060679666396,0.457987124791121,-0.31415260618297,-0.247483745816261,-0.32483640407958,-0.0554546010475309,-0.00408002561619416
"72",-2.30073605628849,0.127248622702947,1.54539777588796,0.29830308071003,-0.529178678372511,-0.355495238136173,0.04941807060333,0.042825651433892
"73",-3.19497250021213,0.713282350362624,-0.238960915956186,0.585409275750285,0.487241420975617,-0.120053333510541,0.133759486642875,-0.0543510974948967
"74",-3.19497250021213,0.713282350362624,-0.238960915956186,0.585409275750285,0.487241420975617,-0.120053333510541,0.133759486642875,-0.0543510974948967
"75",-3.19497250021213,0.713282350362624,-0.238960915956186,0.585409275750285,0.487241420975617,-0.120053333510541,0.133759486642875,-0.0543510974948967
"76",-3.35386684966225,0.837246179742793,-0.210372231073426,0.842346585304614,0.453757627864129,-0.135776703783707,0.127353450483783,-0.0459311071803274
"77",-3.13116577505597,0.995873395358398,-0.0957923942332684,0.995025562017289,0.36941192040349,-0.153755760739682,0.041688654948334,-0.0135471981780709
"78",-1.64299364597012,1.16183318420997,-1.02903059905089,-0.418902609310602,0.369085288850203,-0.160717410446511,0.29591166994936,-0.0447155875233312
"79",-3.09101823151493,0.790226593788634,-0.437422242774316,0.583415528685632,0.345605633407873,-0.151710658291374,0.0826760247938751,-0.0201231399475245
"80",-2.40040194572116,1.32189565290699,-0.449903751981933,0.40049947996847,0.0958874413372329,-0.153433159213161,0.180770940600459,-0.00526475217394216
"81",-2.52739229925658,1.21886752512903,-0.550689679701547,0.291204047089393,0.029932568681173,-0.150683234938685,0.188389914609286,-0.0051123517253363
"82",-2.42405505969754,1.5472644217019,-0.220131305495397,0.782165900632121,0.116792052453384,-0.16453664095301,0.147476883827279,0.00275600169340452
"83",-2.61181417921185,1.2671902874099,-0.628729856964289,0.333019818762333,-0.00415627093977752,-0.164254300943054,0.206603443304089,-0.00526257768718505
"84",-2.52990658526424,1.41437400278312,-0.398674312100366,0.550563265412904,0.012819085173548,-0.161078482207174,0.178296551277385,0.000564810665543876
"85",-2.02031310624853,1.40860812606758,-0.509593850958161,0.35853388278728,0.311793201786266,-0.1608937941057,0.18309850780042,-0.0159347599193227
"86",-2.44570814294826,1.35427130632978,-0.376765929539041,0.586809571224395,0.201148945877593,-0.16268196455279,0.153786841808825,-0.00978303869634716
"87",-2.8388131880682,1.33491624576938,-0.0275748230201004,1.00563157765549,0.17859931544686,-0.155197586048016,0.0717394441326424,-0.00504617140689158
"88",-2.60495523494016,1.35022092083022,-0.328598621281094,0.666017898980142,0.121531784128379,-0.159218804133504,0.140148431426,-0.00378078362981216
"89",-3.28874340647684,1.18079766775906,-0.619688499934128,0.873687656958625,-0.247626752318144,-0.283215509246251,0.0917233444693025,0.0371542525174212
"90",-3.12516011402193,1.13940488913389,-0.0580656082362689,1.05328854268707,0.224976610990541,-0.152905167197835,0.0366584451600817,-0.00710853458631574
"91",-2.80966185187222,1.41612961619484,-0.299787489644232,0.823665056456688,0.0124410338355255,-0.167350395641311,0.13264871882683,0.00187311932382467
"92",-2.83705076394672,0.835184958567954,-0.557724965193007,0.501317495352503,0.17955498567577,-0.253068564317748,0.0612983872481488,-0.00104811001504561
"93",-2.81348267249122,1.04443584647796,-0.349429740068635,0.790052059630823,0.145200930671268,-0.257823591394584,0.0283794979833458,0.00993234645083853
"94",-3.16717313066366,1.09280589914139,-0.329736018569075,0.927072615693451,0.249216707182474,-0.171774184308406,0.0696750041468055,-0.0195346088836339
"95",-2.85160163301373,1.20361998091491,-0.255433442601753,0.88056022570193,0.286660147360388,-0.163193127552897,0.0708781363664798,-0.0140531709751923
"96",-2.82052178893959,1.2364050791865,-0.238040842903833,0.864115452989376,0.259026626484919,-0.163312047816,0.0896392055053932,-0.00989053382026617
"97",-3.18333248616796,1.14999959008071,-0.391640426247386,0.97334469546517,0.240476969802708,-0.182231777794475,0.0800631621045738,-0.0161405435922452
"98",-3.38106830077148,0.888859996471178,-0.505672965563539,0.928620676639917,0.100167480597354,-0.273931998450485,0.0287595824252828,0.00227989949600508
"99",-3.02334488897957,1.12978954690379,-0.406315611980307,0.962053507791869,0.0799284767220797,-0.270941397503153,0.0277042472428038,0.0151148438422012
"100",-2.81385522990314,1.22434671257314,-0.490190224832891,0.857507982181649,0.390053040560318,-0.187658652770872,0.0888988506953429,-0.0212967349252125
"101",0.525868094192399,-1.57499204159023,0.262594453186773,0.234242759121548,-0.964768366370349,0.216344931896918,0.0105999107573589,-0.0449798154312113
"102",0.538425277665485,-1.59376311057107,0.200576555566749,0.162630573644749,-0.959722680268767,0.216217861399929,0.0178212023364319,-0.0482898974217121
"103",0.528135991478676,-1.64292124076818,0.355536454551162,0.251256657851307,-1.06185638843991,0.229571265134197,0.0196740964040393,-0.0439437279365313
"104",0.525935274114586,-1.61364319975773,0.207052353833078,0.160954181269828,-1.0260312300961,0.213066700648989,0.0435524281836483,-0.0367674677628652
"105",0.510117546203751,-1.63764212604572,0.218698707841091,0.177012807531086,-0.961171000221162,0.212733838279811,0.038271083904597,-0.0464648443316884
