,Population,Region,Region2,Region3,DenID,unpublished.vs.published,unpublished.vs.published2,Estimation_Method,Study,Date_median,Date_lowerrange,Date_upperrange,Lat,Long,Lat_lowerrange,Lat_upperrange,DOY,DOY_lowerrange,DOY_upperrange,Originaldataset
96,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-6,unpublished,21,GPS,,5/9/01,,,62.408363,-146.81178,,,191,,,yes
97,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-6,unpublished,21,GPS,,4/24/02,,,62.408363,-146.81178,,,175,,,yes
98,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-7,unpublished,21,GPS,,5/3/00,,,62.408363,-146.81178,,,184,,,yes
99,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-8,unpublished,21,GPS,,4/22/05,,,62.408363,-146.81178,,,174,,,yes
100,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-9,unpublished,21,GPS,,5/20/07,,,52.9705483,-117.69928,,,201,,,yes
101,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-9,unpublished,21,GPS,,5/1/08,,,52.9705483,-117.69928,,,182,,,yes
102,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-9,unpublished,21,GPS,,4/27/09,,,52.9705483,-117.69928,,,179,,,yes
103,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-10,unpublished,21,GPS,,4/11/10,,,52.9705483,-117.69928,,,162,,,yes
104,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-10,unpublished,21,GPS,,4/27/11,,,52.9705483,-117.69928,,,178,,,yes
105,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-11,unpublished,21,GPS,,4/29/03,,,52.9705483,-117.69928,,,180,,,yes
106,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-12,unpublished,21,GPS,,4/15/10,,,52.9705483,-117.69928,,,166,,,yes
107,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-13,unpublished,21,GPS,,4/14/01,,,52.9705483,-117.69928,,,166,,,yes
108,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-14,unpublished,21,GPS,,5/2/09,,,52.9705483,-117.69928,,,184,,,yes
109,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-15,unpublished,21,GPS,,4/20/07,,,52.9705483,-117.69928,,,171,,,yes
110,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-16,unpublished,21,GPS,,4/23/01,,,52.9705483,-117.69928,,,175,,,yes
111,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-17,unpublished,21,GPS,,5/12/04,,,52.9705483,-117.69928,,,193,,,yes
112,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-17,unpublished,21,GPS,,5/8/05,,,52.9705483,-117.69928,,,190,,,yes
113,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-17,unpublished,21,GPS,,4/28/06,,,52.9705483,-117.69928,,,179,,,yes
114,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-18,unpublished,21,GPS,,4/18/07,,,52.9705483,-117.69928,,,169,,,yes
115,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-18,unpublished,21,GPS,,5/1/08,,,52.9705483,-117.69928,,,182,,,yes
116,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-19,unpublished,21,GPS,,4/8/01,,,52.9705483,-117.69928,,,160,,,yes
117,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-20,unpublished,21,GPS,,4/23/03,,,52.9705483,-117.69928,,,174,,,yes
118,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-20,unpublished,21,GPS,,4/22/04,,,52.9705483,-117.69928,,,173,,,yes
119,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-21,unpublished,21,GPS,,4/4/07,,,52.9705483,-117.69928,,,155,,,yes
120,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-22,unpublished,21,GPS,,4/16/07,,,52.9705483,-117.69928,,,167,,,yes
121,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-23,unpublished,21,GPS,,3/29/00,,,52.9705483,-117.69928,,,149,,,yes
122,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-23,unpublished,21,GPS,,4/16/01,,,52.9705483,-117.69928,,,168,,,yes
123,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-24,unpublished,21,GPS,,4/30/04,,,52.9705483,-117.69928,,,181,,,yes
124,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-24,unpublished,21,GPS,,5/3/04,,,52.9705483,-117.69928,,,184,,,yes
125,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-25,unpublished,21,GPS,,4/26/03,,,52.9705483,-117.69928,,,177,,,yes
